1girl, 1 девушка
saionji_hiyoko, сайондзи хийоко
sirius_(azure_horizons)_(azur_lane), сириус_(азурские горизонты)_(азурская долина)
colored_speech_bubble, окрашенный_язык_пузыря
panther_tail, хвост пантеры
aqua_skin, аквакожа
toyota, Тойота
motosu_school_uniform, мотошкола_uniform
italian_text, итальянский текст
perth_(kancolle), перт(канколле)
hakurei_reimu_(pc-98), хакурей_рейму_(пк-98)
futari_wa_precure_splash_star, футари_ва_прекрасный_плэш_звезда
guardian_tales, хранитель_сказок
furen_e_lustario, фурен_е_ластарио
ene_(kagerou_project), ene_(проект kagerou_project)
frog_girl, девушка-лягушка
edogawa_conan, эдогава_конан
village, деревня
touhoku_zunko, тохоку дзунко
ear_chain, ушная цепочка
pushing_away, отталкивающий_ся_
reverse_spitroast, обратное_жаривание
creature_on_head, создание_на_голове
tart_(food), пирог(еда)
nakagawa_natsuki, накагава_нацуки
lazy_eye, ленивый глаз
broken_sword, сломанный меч
odaiba_girls_high_school_uniform, odaiba_girls_high_school_uniform для девочек-старшеклассниц
refraction, преломление
ahoge_wag, ахоге_ваг
adjusting_scarf, корректировка_шарфа
ushiromiya_jessica, уширомия_джессика
sky_print, небесный отпечаток
dead_master, мертвый мастер
arm_over_head, рука над головой
silverash_(arknights), серебряный рыцарь(arknights)
nintendo_3ds, nintendo_3ds
bolt_(hardware), болт(фурнитура)
masu, масу
shirabe_ako, ширабе_ако
saijou_claudine, сайджоу_клаудин
strapless_bottom, низ без бретелек
yagen_toushirou, яген_тоушироу
coconut_tree, кокосовое дерево
table_humping, скачок по таблице
eastern_dragon_tail, восточный драконий хвост
karate_gi, каратист_ги
rupa_(girls_band_cry), рупа(girls_band_cry)
venat_(ff14), венат_(ff14)
braces, подтяжки
battleship, военный корабль
butterfly_ornament, украшение из бабочек
scratching_cheek, царапающий чек
tooth, зуб
kobayashi_(maidragon), кобаяши(девичий дракон)
tengu_mask, маска тенгу
elbow_on_knee, локоть на колено
clothes_theft, кража одежды
zhong_lanzhu, чжун_ланьчжу
musashi_(azur_lane), мусаши(азур-лейн)
mikko_(girls_und_panzer), микко(girls_und_panzer)
red_star, красная звезда
ebizuka_tomo, эбизука_томо
nelson_(kancolle), нельсон(канколле)
toddlercon, малышонок
thick_arm_hair, густые волосы на руках
yuudachi_(azur_lane), юудачи(азурская долина)
force_of_will, сила воли
mohammed_avdol, мухаммед_авдол
alastor_(shakugan_no_shana), аластор(шакуган но шана)
ys, да
unfastened, расстегнутый
knives_between_fingers, ножи между пальцами
kuroshitsuji, куросицудзи
qingxin_flower, цинсинь_флауэр
backless_swimsuit, спортивный костюм без спинки
cyber_fashion, кибер_мода
wrong_foot, неверная нога
key_(company), ключ_(компания)
penance_(arknights), покаяние(рыцари аркана)
blue_visor, синий визор
atelier_ryza_2, мастер_рыза_2
dragon_ears, драконьи уши
hypnosis_mic, гипноз_мический
purple_border, пурпурная граница
aqua_flower, аква_флауэр
2005, 2005
star_fox, звездный_фокс
interior, интерьер
poring, углубляясь в изучение
qixiong_ruqun, цисюн рукунь
ononoki_yotsugi, ононоки йоцуги
cumdump, кумдампинг
pinstripe_pants, брюки в тонкую полосочку
fishnet_sleeves, рукава в сеточку
persona_3_reload, персона_3_загрузка
holding_another's_foot, держащийся за чужую ногу
giant_male, великан_мале
resident_evil_6, резидент_эвил_6
reinforce_zwei, подкрепление_zwei
character_charm, символ_charm
koizumi_mahiru, коидзуми махиру
hoshino_ruri, хосино_рури
itou_kaiji, это ты, кайдзи
bamboo_shoot, бамбуковый побег
eye_black, глаза черные
cecilia_alcott, сесилия Элкотт
exploding_clothes, взрывающаяся одежда
fingering_through_panties, прокручивание пальцами через трусики
arm_across_waist, арм_кросс_ваист
ballpoint_pen_(medium), шариковая ручка(средняя)
quanxi_(chainsaw_man), куаньси(человек с бензопилой)
bishoujo_senshi_sailor_moon_r, бишуджо_сенси_сейлор лунный_р
agent_aika, агент_айка
cork, пробка
yuzuhara_konomi, юзухара_кономи
kitten, котёнок
depressed, подавленный
aviator_cap, шапка авиатора
pendant_watch, подвесные часы
the_elder_scrolls, нижние прокрутки
queen's_blade_rebellion, королевский клинок восстания
tendou_maya, тендоу_майя
paralyzer, парализатор
kappa, каппа
rosario+vampire, росарио+вампир
abigail_williams_(third_ascension)_(fate), эбигейл уильямс_(третье вознесение)_(судьба)
tripod, штатив
miyu_edelfelt_(magical_girl), мию_эдельфельт(волшебная девушка)
moon_phases, фазы луны
mazinger_(series), мазингер(серия)
stitched_torso, сшитый торсо
fried_rice, жареный рис
holding_pocky, держащий_покки
urinal, писсуар
d4dj, d4dj
angela_balzac, анжела_бальзак
koyama_yuzu, кояма_юзу
shared_earphones, общие наушники
ijichi_seika, иджичи_сейка
cast, бросать
bust_cup, бюст-чашка
jacket_girl_(dipp), жакет_девушки_(дипп)
rice_paddy, рисовый пирог
laura_bodewig, лаура бодвиг
face_in_pillow, лицо в подушке
honey_strap, медовый шнурок
zero(z)_(mega_man), ноль(z)_(мега_человек)
sekaiju_no_meikyuu_3, секаю_но_мейкю_3
licking_another's_neck, облизываю чужую шею
two-tone_kimono, двухцветное кимоно
cracked_glass, треснувшее стекло
clefairy, чистокровный
red_scales, красные масштабы
bralines, бюстгальтеры без косточек
tanaka_gundham, танака_гундхам
one_piece_film:_red, one_piece_film:_ред
journey_to_the_west, путешествие на запад
le_malin_(listless_lapin)_(azur_lane), ле_малин_(вялый_лапин)_(азур_лейн)
heart_hair, волосы в форме сердца
imai_lisa, имай_лиса
arcade_cabinet, аркадный кабинет
shinshuu_maru_(kancolle), шиншуу_мару_(канколле)
yu-gi-oh!_zexal, ю-ги-о!_зексальный
denpa_onna_to_seishun_otoko, денпа_онна_то_сейшун_отоко
drowning, затопление
nazi, нацист
male_on_futa, мужской пол_он_фута
resident_evil_4_(remake), резидент_evil_4_(ремейк)
frilled_armband, повязка с оборкой на запястье
izayoi_liko, изайои_лико
brown_ascot, браун_аскот
miyanaga_saki, миянага_саки
pan_(dragon_ball), пан_(драконий мяч)
genshiken, геншикен
reisen_(touhou_bougetsushou), райзен(touhou_bougetsushou)
oozora_subaru_(work), озора_субару_(работа)
yagate_kimi_ni_naru, ягате_кими_ни_нару
tokoro_megumi, токоро_мегуми
holding_egg, удерживающий_егг
black_leg_warmers, черные леггинсы-грелки
hiiragi_utena, хиираги_утена
lucas_(mother_3), лукас_(мать_3)
triangular_eyewear, треугольная верхняя одежда
star_ocean_anamnesis, звездный_океан_анамнезис
stuffed_panda, фаршированная панда
training_corps_(emblem), тренировочный корпус(эмблема)
mysterious_heroine_x_(fate), таинственная_героиня_х_(судьба)
penlight_(glowstick), авторучка_(светящаяся палочка)
spiked_ear_piercing, пронзенный шипом_ир_ прокалывающий
urban, городской
ibuki_(street_fighter), ибуки(уличный боец)
victorian, викторианский
pokemon_bw_(anime), pokemon_bw_(аниме)
2008, 2008
weapon_focus, фокус на оружии
beatrix_(granblue_fantasy), беатрикс(granblue_fantasy)
muffin_top, маффиновая начинка
tape_bondage, ленточная обвязка
miles_edgeworth, милес_эджворт
closet, шкаф
kousaka_kirino's_school_uniform, единая школа косака_кирино
suigetsu, суйгецу
lane_line, линия движения
female_saniwa_(touken_ranbu), женская_санива(тукен_ранбу)
poppy_(flower), мак(цветок)
holding_scepter, удерживающий_сцептер
akira_(blue_archive), акира_(синий архив)
keyblade, лезвие для ключей
orange_goggles, оранжевые глазки
miyako_(hidamari_sketch), мияко_(хидамари_скетчинг)
paul_bunyan_(fate), павел Бунян(судьба)
juusan_kihei_bouei_ken, юусан_кихей_буэй_кен
bathhouse, баня
yes!_precure_5_gogo!, да!_прекрасный_5_гого!
jeanne_d'arc_alter_(avenger)_(third_ascension)_(fate), жанна_д'арк_альтер_(мстительница)_(третье вознесение)_(судьба)
mercedes_von_martritz, мерседес_вон_мартриц
kotori_(blue_archive), котори_(синий архив)
crave_saga, жажда_сага
kano_shuuya, кано_шуя
signalis, сигнализатор
2007, 2007
tsab_ground_military_uniform, tsab_ground_military_uniform - наземная военная организация
fur-trimmed_leotard, жакет с меховой отделкой
yumeko_(touhou), юмеко(тохо)
tron_bonne_(mega_man), трон бонна(мегачеловек)
undone_neck_ribbon, незаконченная вырезка_ribbon
black_arm_warmers, черные грелки для рук
polaroid_photo, polaroid_фото
orca, косатка
super_mario_bros._1, супер_марио_брос._1
rosa_(tears_of_themis), роза(слезы фемиды)
accel_world, ускоренный мир
brynhildr_(fate), брунгильда(судьба)
spade_hair_ornament, украшение для волос из лопаты
bishoujo_senshi_sailor_moon_(first_season), бишуджо_сенси_сейлор_луны(первый сезон)
gladiia_(arknights), гладиолусы(аркнайты)
ky_kiske, ки_киске
lying_on_water, лежащий на воде
wiz_(konosuba), волшебник(коносуба)
railroad_crossing, железнодорожный переезд
anisphia_wynn_palettia, анисфия_винн_палеттия
player_character_(wow), персонаж игрока(ничего себе)
takumi_(fire_emblem), такуми(огненное объединение)
german_flag_bikini, немецкий флаг_бикини
detached_leggings, отсоединенные ножки
i-no, я - нет
fish_tank, аквариум с рыбой
rural, сельский
maou_(maoyuu), маоу_(маоюю)
kamen_rider_w, каменный всадник_w
mane, грива
bun_with_braided_base, пучок_с_плетеной_основой
uta_(one_piece), ута_(одна штука)
aqua_sleeves, акварельные рукава
7th_dragon, 7 - й дракон
oar, весло
finger_sucking, сосание пальцами
hange_zoe, ханге_зое
saunders_school_uniform, сондерс_школа_униформа
metaphor:_refantazio, метафора: фантазия
akagi:_yami_ni_oritatta_tensai, акаги:_ями_ни_оритатта_тенсай
ray_gun, лучевой пистолет
hope's_peak_academy_school_uniform, хоупс_пик_академия_школа_единая
digimon_card_game, карточная игра digimon_card_game
pantyhose_under_swimsuit, колготки под спортивным костюмом
blob, капля
mitsumine_yuika, мицуминэ_юика
pink_sports_bra, розовая_спортивная_бра
orange_pupils, оранжевые_пупилы
filia_(skullgirls), филия_(девушки-черепа)
canteen, столовая
bipod, сошки
riza_hawkeye, риза_хокий глаз
li_yuting_(female), ли_ютинг_(женщина)
tolkien's_legendarium, легендариум Толкина
black_tiara, черная тиара
annotation_request, аннотация_запрос
van_gogh_(fate), ван_гог_(судьба)
magic_knight_rayearth, волшебный рыцарь солнечного света
beach_mat, пляжный коврик
ayunda_risu, аюнда_рису
sexual_coaching, сексуальное обучение
congratulations, поздравления
scalpel, скальпель
tanino_gimlet_(umamusume), танино_гимлет_(умамусуме)
disguise, маскировать
rectangular_halo, прямоугольный_гало
m16, м16
magallan_(arknights), магаллан(рыцари аркнесса)
reigen_arataka, рейген_аратака
bridal_lingerie, свадебное платье
brown_flower, коричневый цветок
kon_kanaho, кон_канахо
covered_penetration, скрытое проникновение
furret, мех
larcei_(fire_emblem), кража(fire_emblem)
moose_(kemono_friends), лоси(друзья кемоно_)
myrtle_(arknights), миртл(аркнайты)
shoulder_guard, защита плеча
phoenix, Феникс
kiana_kaslana_(herrscher_of_flamescion), киана Каслана(героиня романа "пламя")
amusement_park, парк аттракционов
shuro_(blue_archive), шуро_(синий архив)
holding_torch, удерживающий факел
holding_flute, удерживающая флейта
wheat_field, пшеничное поле
female_sensei_(blue_archive), женский разум(синий архив)
merchandise_available, доступный товар
takanashi_kiara_(casual), таканаси_киара_(повседневная одежда)
ikusaba_mukuro, икусаба_мукуро
anegasaki_nene, анегасаки_нене
paint_can, банка с краской
yellow_one-piece_swimsuit, желтый цельнокроеный спортивный костюм
iris_black_games, ирис_блэк_игры
rei_(pokemon), рей_(покемон)
bird_on_arm, птичья_на_руке
guest_art, гостевой арт
side_part, боковая часть
handjob_gesture, жестикуляция рукой
quaxly, кваксли
rotary_phone, вращающийся телефон
gingham, клетчатый
vert_(neptunia), вершина(нептуния)
space_print, пробел_печаток
tsukimura_temari, цукимура_темари
alisa_mikhailovna_kujou, алиса Михайловна кужоу
whip_marks, метки удара
kazami_yuuka_(pc-98), казами_юука(пк-98)
admiral_graf_spee_(azur_lane), адмирал_граф_спи_(азур_лейн)
ano_natsu_de_matteru, ано_натсу_де_маттеру
sawamura_spencer_eriri, савамура_спенсер_эрири
lillian_girls'_academy_school_uniform, _академия_школы_единства_девочек Лиллиан
orange_horns, оранжевые рога
meltryllis_(swimsuit_lancer)_(second_ascension)_(fate), мелтриллис_(танцовщица в купальнике_)_(второе восхождение)_(судьба)
turn_a_gundam, поворот_а_гундам
green_jumpsuit, зеленый спортивный костюм
holding_gem, удерживающий_гем
martial_arts, боевые искусства
see-through_sarong, прозрачный_саронг
licking_breast, облизывающий_брюсток
hare_(blue_archive), зайчонок(синий архив)
aliasing, наложение
sainan_high_school_uniform, сайнан_высокая_школа_единая
evelynn_(league_of_legends), эвелин(лига легенд)
ralts, роли
electric_bass_guitar, электрический бас-гитара
kerchief, косынка
stheno_(fate), стено(судьба)
crosshatching, перекрестная штриховка
donquixote_doflamingo, донкихот_дофламинго
jin_kisaragi, джин_кисараги
sengoku_musou, сенгоку мусоу
xp-tan, xp-загар
latex_leotard, латекс_леотард
plaid_shorts, плед_шорты
naoe_riki, наое_рики
misumi_uika, мисуми_уика
soda_kazuichi, сода_казуичи
hino_akane_(idolmaster), хино_акане_(повелитель кумиров)
cyrillic, кириллица
kariyushi_shirt, футболка от кариюши
taokaka, таокака
takamiya_rion, такамия_рион
pregnancy_test, тест на беременность
kickboard, кикборд
sailor_saturn, парусник_сатурн
graduation, выпускной
blue_pikmin, синий пикмин
world_is_mine_(vocaloid), мир_из_мине_(вокалоид)
holding_whisk, удерживающий_виск
kishinami_(kancolle), кишинами_(канколле)
bishamonten's_spear, взгляд бишамонтена
single-shoulder_dress, платье с одним плечом
inumuta_houka, инумута_хаука
dissolving_clothes, растворяющаяся одежда
gavial_(arknights), гавиал(рыцари аркана)
warrior_(dq3), воин_(dq3)
janus_(kancolle), янус(канколле)
tsurezure_children, цурезуре_детям
flower_(vocaloid), цветок(вокалоид)
lifebuoy_ornament, спасательный круг_орнамент
nanakusa_nichika, нанакуса_ничика
shamoji, шамоджи
romani_archaman, цыган_архаман
ptilopsis_(arknights), птилопсы(аркнайты)
monkey_girl, девушка-обезьяна
hatake_kakashi, хатаке_какаши
grimms_notes, примечания Гриммса
clarent_(fate), Кларент(судьба)
in_heat, в_нагреве
rerebrace, переосмысление
hishi_amazon_(umamusume), хиши_амазон_(умамусуме)
orange_coat, оранжевое пальто
at_computer, at_компьютер
okusawa_misaki, окусава_мисаки
incoming_kiss, входящий поцелуй
miracle_mallet, чудесный подарок
quadruple_amputee, четверной_ампутант
enty_reward, вход_отзыв
chibi_miku, чиби_мику
yamabuki_inori, ямабуки инори
long_scarf, длинный шарф
melony_(pokemon), мелони(покемон)
fender_stratocaster, фендер_стратокастер
elegg_(nikke), элегг_(никке)
chise_(blue_archive), chise_(синий архив)
shirayuki_tomoe, шираюки_томое
translucent, полупрозрачный
clive_rosfield, клив_росфилд
tekken_7, теккен_7
isobe_noriko, изобе_норико
flamethrower, огнемет
ara_haan, ара_хан
tickling_feet, щекочущие лапы
vehicle_and_personification, транспортное средство и его персонификация
wakamezake, вакамезаке
grimoire_of_alice, гримуар_алисы
pawn_(chess), пешка(шахматы)
matsubara_kanon, мацубара_канон
casing_ejection, выброс в оболочку
glove_bow, перчаточный лук
sen_no_kiseki_iii, сен_но_кисеки_иии
implied_pregnancy, предполагаемая беременность
umbrella_over_shoulder, зонтик_ поверх_плеча
hand_on_own_crotch, перехват из рук в руки
coat_partially_removed, пальто_ частично_ снято
unworn_footwear, неношеная обувь
nui_sociere, новое общество
capcom_fighting_jam, capcom_fighting_jam - борьба с пиратством
crisis_management_form_(machimazo), кризисная форма управления(мачимазо)
water_lily_flower, цветок водяной лилии
dating, знакомства
asuka_(senran_kagura), асука(сенран кагура)
chomusuke, хомусуке
tonari_no_totoro, тонари_но_тоторо
inu_x_boku_ss, ину_х_боку_сс
pinstripe_dress, платье в тонкую полосочку
klein_moretti, клейн_моретти
food_packaging, упаковка продуктов питания
meadow, луг
black_bird, черная птица
mari_(headspace)_(omori), мари_(свободное пространство)_(омори)
black_coat_(kingdom_hearts), черный плащ(королевство сердец)
bridle, уздечка
subaru_duck, субару_дак
fur_shawl, меховая шаль
digital_clock, цифровые часы
shimazu_yoshino, симадзу есино
voms, вомы
yoshi, йоши
implacable_(azur_lane), непримиримый(azur_lane)
mechanic, механик
corsage, корсаж для волос
playground, игровая площадка
red_shawl, ред_шоул
orange_halo, оранжевое_гало
game_screenshot_inset, набор игровых скриншотов_inset
sailor_swimsuit_(idolmaster), костюм моряка(idolmaster)
weights, веса
missing_tooth, отсутствующий зуб
pitcher_(container), кувшин_(контейнер)
cure_moonlight, исцеляющий лунный свет
azumanga_daioh's_school_uniform, единая школа азуманга_дайоха
tape_on_nipples, клейкая лента на сосках
ass_tattoo, татуировка на заднице
kaho_(blue_archive), кахо(синий архив)
brazilian_flag_print, бразильский флаг_принт
phosphophyllite_(ll), фосфофиллит_(ll)
jigoku_shoujo, дзигоку_судзе
sakagami_tomoyo, сакагами томойо
head_steam, головная группа
veiny_hands, жилистые руки
eyes_in_shadow, глаза в тени
puyopuyo_fever, лихорадка пуйопуйо
sewing_needle, швейная игла
shoukaku_(azur_lane), шоукаку(азурская долина)
shinonome_nano, синономе_нано
haruno_haruka, харуно_харука
prison_cell, тюремная камера
thick_navel_hair, густые волосы
gundam_hathaway's_flash, вспышка гандама Хэтэуэя
groceries, бакалейные товары
paizuri_invitation, приглашение пайзури
dollar_sign, знак доллара
getter_robo, получатель_robo
teana_lanster, теана_ланстер
tickling_armpits, щекочущие подмышки
strike_witches:_kurenai_no_majo-tachi, нападающие:_kurenai_no_majo-тачи
white_bandana, белая бандана
freminet_(genshin_impact), freminet_(геншин_импакт)
grabbing_another's_ear, хватающий за чужое сердце
lace_sleeves, кружевные рукава
leaning_on_table, наклоняющийся к столу
caesar_king_(zenless_zone_zero), цезарь-король (нулевая зона без зенита)
mr._squeaks_(hakos_baelz), мистер Сквикс(хакос Бэлз)
breaker_gorgon, разрушитель_горгон
gold_armlet, золотая повязка
corin_wickes, корин_викес
mumei_(kabaneri), мумеи(кабанери)
eureka_(eureka_seven), эврика(eureka_seven)
elizabeth_bathory_(brave)_(fate), элизабет Батори(храбрая)(судьба)
dodging, уклонение
celebi, селеби
slim_legs, тонкие ножки
leaf_background, фоновый рисунок листа
self_cosplay, самоигрывание
yatadera_narumi, ятадера_наруми
black_vs_white, черный против белого
kyuudou, кьюудоу
sakura_(fire_emblem), сакура(огненная эмблема)
little_witch_nobeta, маленькая ведьма нобета
cartridge, картридж
fatal_frame, фатальный кадр
yume_(blue_archive), юме_(синий архив)
brown_long-eared_bat_(kemono_friends), коричневая длинноухая кошка(kemono_friends)
elbow_on_table, локоть на столе
diavolo, дьяволо
archon_mark, архонтская метка
kel_(headspace)_(omori), кел_(свободное пространство)_(омори)
a-chan_(hololive), а-тян(гололив)
fantasy_earth_zero, фантазия_земли_зеро
detached_hood, отстраненное детство
full_metal_panic!, полный_металлический_паник!
fading, затухающий
dragon_ball_heroes, драконьий_бол_героев
nishino_flower_(umamusume), цветок нишино(умамусуме)
animare, анимаре
penis_shadow, тень пениса
kaela_kovalskia, каэла_ковальская
pet_food, корм для домашних животных
holding_dog, удерживающий_дог
latios, латиос
reed_(arknights), рид_(аркнайты)
kinich_(genshin_impact), кинич_(геншин_импакт)
qi_lolita, ки_лолита
right-over-left_kimono, кимоно справа налево
tanaka_kotoha, танака_котоха
fluorescent_lamp, флуоресцентная лампа
gundam_build_divers_re:rise, gundam_build_divers_re:восхождение
yun_jin_(genshin_impact), юньцзинь(воздействие геншина)
oshiete!_galko-chan, ошиете!_галко-тян
tsukimiya_ayu, цукимия_аю
side-tie_shirt, футболка с боковой завязкой
fishnet_bodysuit, комбинезон в сеточку
gigi_murin, гиги_мурин
flower_on_liquid, цветок в жидкости
senjou_no_valkyria_1, сенджоу_но_валкирия_1
torn_bike_shorts, порванные велосипедные шорты
jeanne_d'arc_(third_ascension)_(fate), жанна_д'Арк(третье вознесение)_(судьба)
sitting_sideways, сидящие по бокам
striped_coat, полосатое пальто
koseki_bijou_(1st_costume), косэки биджоу(1-й костюм)
middle_ring, среднее кольцо
sky_lantern, небесный фонарь
batman, Бэтмен
china_(hetalia), китай(хеталия)
spicy_nun_(diva), пикантная крошка(дива)
holding_lighter, удерживающий фонарь
yamada_elf, ямада_эльф
normal_suit, обычный костюм
viy_(fate), вий_(судьба)
stained_sheets, испачканные листы
roxie_(pokemon), рокси(покемон)
fast_food_uniform, фастфуд_униформный
keizoku_school_uniform, keizoku_school_uniform школьная форма
circle_formation, формирование окружности
grey_ascot, серый_аскот
sylvain_jose_gautier, сильвен_жозе_готье
kagemori_michiru, кагемори_мичиру
hinatsuru_ai, хинацуру_ай
musket, мушкет
yuri_sakazaki, юрий заказаки
stomping, топающий
unworn_goggles, неношеные очки
optical_sight, оптический прицел
sage_(dq3), саге_(dq3)
shirt_around_waist, рубашка с круглым вырезом на талии
kenmochi_touya, кенмоти_туя
audio_jack, аудиоразъем
manya_(dq4), маня_(четвертый квартал)
princess_of_moonbrook, принцесса лунного ручья
belt_skirt, пояс_скирта
fist_pump, кулачковый насос
gravity_falls, гравитационные падения
different_shadow, различная тень
hand_grip, рукопожатие
chakram, чакрам
skirt_under_dress, юбка под платьем
neta, нета
high_five, высокий уровень - пять
hades_1, ад_1
baka_to_test_to_shoukanjuu, бака_тест_шоуканджу
sekaiju_no_meikyuu_5, секаю_но_мейкю_5
high_school_dxd_born, старшеклассник_dxd_born
curiosities_of_lotus_asia, курьезы_из_ лотоса_азии
villager_(animal_crossing), житель деревни(скрещивание животных)
dokibird_(vtuber), докибирь(втубер)
golden_arms, золотые руки
market_stall, рыночный_столл
female_protagonist_(pokemon_go), женщина-защитник_(pokemon_go)
bazett_fraga_mcremitz, базет_фрага_мкремиц
rurouni_kenshin, руруни_кеншин
animal_helmet, шлем животного
olga_marie_animusphere, olga_marie_анимусфера
fake_halo, фальшивый хало
undersized_breast_cup, уменьшенная по размеру грудная чашечка
carmilla_(fate), кармилла(судьба)
sad_smile, грустная улыбка
theresa_(arknights), тереза(рыцари аркнесса)
sekiro:_shadows_die_twice, секиро:_темная_ смерть дважды
kamisato_ayaka_(springbloom_missive), камисато_аяка_(весенний_блум_миссивный)
expression_chart, диаграмма выражения_chart
choke_hold, удушающий захват
hogtie, хогти
exoskeleton, экзоскелет
ichijou_ririka, ичиджоу_ирика
hands_on_shoulders, руки на плечах
oomori_yuuko, омори_юуко
mikakunin_de_shinkoukei, микакунин_де_шинкукей
barry_(pokemon), барри(покемон)
holding_bell, удерживающий звонок
blue_bird, синяя птица
athrun_zala, атрун_зала
wingull, крылатая чайка
nagara_(kancolle), нагара(канколле)
kobo_kanaeru, кобо_канаэру
roland_(project_moon), роланд_(проект_мун)
wu_zetian_(fate), wu_zetian(судьба)
honma_himawari, хонма_химавари
scaramouche_(cat)_(genshin_impact), скарамуш(кот)(геншин_импакт)
wind_turbine, ветряная турбина
hair_over_one_breast, прическа_на_одной_брови
okinami_(kancolle), окинами_(канколле)
mtu_virus, mtu_вирус
coin_purse, кошелек монет
bartz_klauser, бартц_клаузер
print_swimsuit, спортивный костюм с принтом
oven, духовка
visual_novel, визуальный роман
dark_clouds, темные тучи
pokemon_focus, покемон_фокус
mg42, mg42
wiping_mouth, вытирающий_ рот
toaru_kagaku_no_railgun_t, toaru_kagaku_no_railgun_t тоару_кагаку_но_раилгун_т
sekaiju_no_meikyuu_1, секаю_но_мейкю_1
cassock, ряса
remembering, воспоминание
i-13_(kancolle), i-13_(канколле)
ainu, айны
shiny_swimsuit, блестящий спортивный костюм
foreplay, любовная игра
rindou_mikoto, риндоу_микото
race_bib, гонка_bib
elizabeth_rose_bloodflame, элизабет_роза_пламя крови
nijisanji_id, нижисанджи_ид
lance_of_longinus_(evangelion), ланцет длинноногий(евангелион)
pendant_collar, подвесной ошейник
hands_on_own_legs, руки - на -нижних_легах
zuikaku_(azur_lane), зуйкаку(азурская полоса)
marill, марилл
yellow_sailor_collar, желтый воротничок портного
small-clawed_otter_(kemono_friends), котенок с маленькими когтями(kemono_friends)
shampoo_bottle, бутылка для шампуня
black_hole, черная дыра
melina_(elden_ring), мелина(кольцо старейшин)
orange_bra, оранжевая_бра
blue_poison_(shoal_beat)_(arknights), синий яд(мелководье)(аркнайты)
fu_hua_(azure_empyrea), фу_хуа_(лазурная империя)
hyakumantenbara_salome_(1st_costume), хякумантенбара_саломе_(1-й_костюм)
adaman_(pokemon), адаман(покемон)
whip_sword, хлыстовый меч
holding_crossbow, удерживающий арбалет
popsicle_stick, фруктовое мороженое на палочке
zooey_(granblue_fantasy), зоуи(granblue_fantasy)
hanasato_minori, ханасато минори
holding_spring_onion, удерживающий_спринг_онион
sock_pull, носок_пулл
santa_claus, санта Клаус
tsuyuri_kanao, цуюри_канао
red_pubic_hair, рыжие волосы на лобке
halo_(series), ореол_(серия)
tianguan_cifu, тяньгуаньцифу
aura_(sousou_no_frieren), аура(сусоу_но_фриерен)
himesaka_noa, химесака_ноа
anal_only, только для анала_only
chastity_cage, клетка целомудрия
holding_rope, удерживающий канат
fukuda_haru, фукуда_хару
hedgehog_girl, девочка-ежик
see-through_panties, прозрачные трусики
dream_soul, душа мечты
movie_poster, ролик_постер
akagi_shigeru, акаги_шигеру
junko_(blue_archive), junko_(синий архив)
yami_kawaii, ями_каваи
konpaku_youki, конпаку_юки
covering_own_ears, охватывающие_дни_лет
sewayaki_kitsune_no_senko-san, севаяки_кицунэ_но_сенко-сан
li_syaoran, ли_сяоран
heracles_(fate), геракл(судьба)
right-to-left_comic, справа налево - комикс
funada_kiito, фунада_киито
holding_with_tail, держащийся за хвост
zero_gravity, нулевая гравитация
harime_nui, хариме_нуи
agrias_oaks, агриас_оакс
travel_attendant, сопровождающий в путешествии
noble_witches, благородные ведьмы
pekoyama_peko, пекояма_пеко
natori_(kancolle), натори(канколле)
saber_alter_(third_ascension), сабля_альтер_(третье восхождение)
holographic_clothing, голографическая одежда
pokemon_mystery_dungeon, покемон_мистерый_ подземелье
wakamo_(swimsuit)_(blue_archive), вакамо_(купальник)_(синий_архив)
miyagawa_takane, миягава_такане
multicolored_ribbon, разноцветный гриб
asirpa, асирпа
mega_man_zx_advent, mega_man_zx_ приключение
night_vision_device, устройство ночного видения_device
flailing, размахивая руками
blood_on_chest, кровь на груди
tojo_kirumi, тодзио кируми
official_art_inset, официальный набор для творчества
jump_rope, прыжок по канату
angel_devil_(chainsaw_man), ангел_девиль_(человек-бензопила)
rhine_lab_logo, рейн_лаб_лого
gravity_daze, гравитационное оцепенение
suspenders_slip, подвеска_слип
tales_of_destiny, рассказы о судьбе
broken_eyewear, порванная одежда
tear_grants, слезные гранты
mismagius, мисмагиус
print_mug, печать_mug
wedge_heels, клиновые колеса
maya_kai_ni_(kancolle), майя_кай_ни_(канколле)
wet_skirt, мокрая юбка
cross-laced_cutout, вырез с перекрестной шнуровкой
euphyllia_magenta, эуфиллия_магента
tingyun_(honkai:_star_rail), тинъюнь(хонкай: звездный путь)
skull_on_head, череп на голове
shadowheart_(baldur's_gate), сердце тьмы (врата Бальдура)
gingerbread_man, пряничный человечек
zen'in_maki, дзен'ин_маки
milla_maxwell, милла_максвелл
todo_yurika, тодо_юрика
centipede, сороконожка
misaki_(blue_archive), мисаки(синий архив)
meursault_(project_moon), мерсо(проект_мун)
widow's_peak, вдовий голос
nemo_(fate), немо_(судьба)
full_composition, полная_композиция
pixiv_fantasia_fallen_kings, пиксель_фантазии_палых_ королей
reloading, перезарядка
sanzen'in_nagi, санзен-ин-наги
amestris_military_uniform, аместрис_милитарный_подразделенный
belt_chain, поясная цепь
sora_ginko, сора_гинко
inuyasha_(character), инуяша(персонаж)
pearl_thong, жемчужный тонг
